id, time, values
1, 07:39:11, 51.0
2, 07:39:21, 1206.0
1, 07:39:31, 2010.2
2, 07:39:41, 1331.6
1, 07:39:51, 2493.8
2, 07:40:01, 2814.4
1, 07:40:11, 1275.8
2, 07:40:21, 2363.8
1, 07:40:31, 1733.4
2, 07:40:41, 191.6
1, 07:40:51, 1294.2
2, 07:41:01, 79.0
1, 07:41:11, 2291.6
2, 07:41:21, 516.2
1, 07:41:31, 824.2
2, 07:41:41, 1702.4
1, 07:41:51, 2357.8
2, 07:42:01, 2191.8
1, 07:42:11, 2893.8
2, 07:42:21, 1728.8
1, 07:42:31, 235.8
2, 07:42:41, 234.4
1, 07:42:51, 54.0
2, 07:43:01, 71.4
1, 07:43:11, 2978.6
2, 07:43:21, 743.0
1, 07:43:31, 2315.8
2, 07:43:41, 1873.0
1, 07:43:51, 816.2
2, 07:44:01, 2755.6
1, 07:44:11, 2855.2
2, 07:44:21, 1069.4
1, 07:44:31, 1689.2
2, 07:44:41, 1253.2
1, 07:44:51, 2595.2
2, 07:45:01, 1154.0
1, 07:45:11, 2494.4
2, 07:45:21, 1367.6
1, 07:45:31, 200.0
2, 07:45:41, 1019.2
1, 07:45:51, 2105.2
2, 07:46:01, 444.2
1, 07:46:11, 2213.2
2, 07:46:21, 2878.6
1, 07:46:31, 21.2
2, 07:46:41, 1266.8
1, 07:46:51, 495.6
2, 07:47:01, 375.4
1, 07:47:11, 51.4
2, 07:47:21, 2383.2
1, 07:47:31, 1650.6
2, 07:47:41, 1988.6
1, 07:47:51, 1509.6
2, 07:48:01, 2443.6
1, 07:48:11, 477.6
2, 07:48:21, 1827.2
1, 07:48:31, 1807.6
2, 07:48:41, 670.4
1, 07:48:51, 285.4
2, 07:49:01, 1295.2
1, 07:49:11, 819.2
2, 07:49:21, 281.4
1, 07:49:31, 2522.0
2, 07:49:41, 2112.6
1, 07:49:51, 201.8
2, 07:50:01, 216.4
1, 07:50:11, 2689.2
2, 07:50:21, 1211.6
1, 07:50:31, 838.6
2, 07:50:41, 634.6
1, 07:50:51, 1072.2
2, 07:51:01, 2098.2
1, 07:51:11, 2940.6
2, 07:51:21, 2638.8
1, 07:51:31, 504.0
2, 07:51:41, 2627.6
1, 07:51:51, 2509.0
2, 07:52:01, 2958.8
1, 07:52:11, 480.2
2, 07:52:21, 1018.0
1, 07:52:31, 1020.2
2, 07:52:41, 1893.0
1, 07:52:51, 37.6
2, 07:53:01, 2940.8
1, 07:53:11, 66.8
2, 07:53:21, 919.4
1, 07:53:31, 2286.6
2, 07:53:41, 1959.4
1, 07:53:51, 677.0
2, 07:54:01, 521.6
1, 07:54:11, 2778.0
2, 07:54:21, 1354.0
1, 07:54:31, 829.0
2, 07:54:41, 1821.6
1, 07:54:51, 2272.6
2, 07:55:01, 1187.0
1, 07:55:11, 2115.0
2, 07:55:21, 47.6
1, 07:55:31, 199.8
2, 07:55:41, 2868.0
1, 07:55:51, 289.2
2, 07:56:01, 1857.2
1, 07:56:11, 145.0
2, 07:56:21, 2605.6
1, 07:56:31, 95.6
2, 07:56:41, 1417.2
1, 07:56:51, 2666.2
2, 07:57:01, 2788.6
1, 07:57:11, 1881.4
2, 07:57:21, 2512.2
1, 07:57:31, 995.4
2, 07:57:41, 1383.8
1, 07:57:51, 856.2
2, 07:58:01, 2244.6
1, 07:58:11, 1123.4
2, 07:58:21, 17.0
1, 07:58:31, 267.4
2, 07:58:41, 2452.4
1, 07:58:51, 1980.2
2, 07:59:01, 1948.0
1, 07:59:11, 2785.2
2, 07:59:21, 232.4
1, 07:59:31, 410.0
2, 07:59:41, 964.4
1, 07:59:51, 845.8
2, 08:00:01, 1675.2
1, 08:00:11, 1186.4
2, 08:00:21, 2137.4
1, 08:00:31, 2979.6
2, 08:00:41, 1287.8
1, 08:00:51, 357.2
2, 08:01:01, 838.2
1, 08:01:11, 1910.4
2, 08:01:21, 481.8
1, 08:01:31, 1271.2
2, 08:01:41, 2496.6
1, 08:01:51, 1111.0
2, 08:02:01, 2563.4
1, 08:02:11, 646.8
2, 08:02:21, 1282.8
1, 08:02:31, 2458.2
2, 08:02:41, 1159.2
1, 08:02:51, 2983.6
2, 08:03:01, 516.0
1, 08:03:11, 1068.0
2, 08:03:21, 2996.2
